#time, encoder, angular velocity, steering angle
12.335014, 5408211, 0.006181, 0.012878
12.369555, 5409084, -0.006154, 0.012878
12.402915, 5409991, 0.008747, 0.013158
12.435645, 5410876, 0.013962, 0.013718
12.469687, 5411763, -0.003093, 0.013998
12.502241, 5412672, 0.002187, 0.013998
12.535172, 5413560, 0.006066, 0.013998
12.568507, 5414447, 0.014848, 0.014278
12.601743, 5415366, 0.008946, 0.014557
12.635222, 5416264, 0.002340, 0.014837
12.669199, 5417174, 0.015999, 0.014837
12.702027, 5418117, 0.004231, 0.015117
12.735601, 5419043, 0.013080, 0.015117
12.769242, 5419970, 0.002831, 0.015117
12.802178, 5420929, -0.001778, 0.015397
12.834974, 5421864, 0.009332, 0.015397
12.870536, 5422804, 0.014168, 0.015677
12.901574, 5423781, 0.009941, 0.016237
12.934914, 5424742, 0.010876, 0.017077
12.968310, 5425736, 0.006435, 0.018197
13.002566, 5426705, 0.006182, 0.019877
13.034927, 5427677, 0.007526, 0.021836
13.069424, 5428662, 0.017386, 0.024356
13.102274, 5429688, 0.020155, 0.027155
13.135273, 5430696, 0.016457, 0.030235
13.169506, 5431707, 0.011922, 0.034154
13.203032, 5432785, 0.001028, 0.039193
13.234743, 5433774, 0.014507, 0.044512
13.268684, 5434797, 0.022768, 0.050951
13.302329, 5435857, 0.033981, 0.058790
13.335048, 5436887, 0.028445, 0.067468
13.368071, 5437930, 0.043380, 0.076427
13.403144, 5439039, 0.031134, 0.085665
13.435653, 5440061, 0.035931, 0.094624
13.468754, 5441108, 0.058314, 0.103862
13.502338, 5442200, 0.078082, 0.113940
13.535180, 5443270, 0.078245, 0.123739
13.569038, 5444348, 0.083139, 0.133817
13.603254, 5445465, 0.077184, 0.143615
13.635998, 5446559, 0.103825, 0.153133
13.669109, 5447692, 0.128809, 0.162652
13.702361, 5448768, 0.116317, 0.171330
13.735353, 5449919, 0.112615, 0.180569
13.769247, 5451044, 0.119224, 0.189247
13.802759, 5452204, 0.125601, 0.198766
13.835380, 5453342, 0.136735, 0.208284
13.868750, 5454489, 0.156839, 0.218082
13.902701, 5455646, 0.159592, 0.228440
13.935731, 5456850, 0.164496, 0.239639
13.969104, 5458060, 0.195366, 0.251117
14.001868, 5459237, 0.196561, 0.262874
14.035476, 5460420, 0.186001, 0.274912
14.068536, 5461612, 0.216004, 0.286950
14.102156, 5462803, 0.229849, 0.299548
14.134961, 5464033, 0.216805, 0.312986
14.169175, 5465230, 0.262361, 0.326423
14.202875, 5466474, 0.256643, 0.340701
14.235292, 5467697, 0.261078, 0.354699
14.269436, 5468925, 0.293895, 0.368696
14.301576, 5470162, 0.295839, 0.382694
14.335449, 5471436, 0.273848, 0.396411
14.369191, 5472682, 0.326764, 0.409569
